,ΜΕΛΗ ΟΙΚΟΓΕΝΕΙΑΣ ΕΠΕΝΔΥΤΩΝ - ΜΑΙΟΣ 2025,,,,,,,,,,,,,,,,,,,
,,,ΥΠΗΚΟΟΤΗΤΑ,,,,ΑΝΑΝΕΩΣΗ /,,,,,ΥΠΗΚΟΟΤΗΤΑ,,,,ΑΡΧΙΚΗ,,,,
,,,,,,,ΕΠΑΝΕΚΔΟΣΗ,,,,,,,,,ΧΟΡΗΓΗΣΗ,,,,
1,,,ΚΙΝΑ,,,4.683,,,57,8%,,,ΚΙΝΑ,,,14.365,,,49,0%,,
,2,,,ΡΩΣΙΑ,,,701,,,8,6%,,,ΤΟΥΡΚΙΑ,,,3.913,,,13,4%,
,3,,,ΤΟΥΡΚΙΑ,,,652,,,8,0%,,,ΛΙΒΑΝΟΣ,,,1.822,,,6,2%,
,4,,,ΛΙΒΑΝΟΣ,,,337,,,4,2%,,,ΙΡΑΝ,,,1.431,,,4,9%,
,5,,,ΙΡΑΝ,,,304,,,3,7%,,,ΡΩΣΙΑ,,,950,,,3,2%,
,6,,,ΑΙΓΥΠΤΟΣ,,,229,,,2,8%,,,ΑΙΓΥΠΤΟΣ,,,754,,,2,6%,
,7,,,ΙΡΑΚ,,,226,,,2,8%,,,ΗΝ. ΠΟΛΙΤΕΙΕΣ ΑΜΕΡΙΚΗΣ - ΗΠΑ,,,699,,,2,4%,
,8,,,ΣΥΡΙΑ,,,137,,,1,7%,,,ΗΝ. ΒΑΣ. Μ. ΒΡΕΤΑΝΙΑΣ,,,460,,,1,6%,
,9,,,ΙΟΡΔΑΝΙΑ,,,97,,,1,2%,,,ΙΣΡΑΗΛ,,,442,,,1,5%,
10,,,,ΗΝ. ΠΟΛΙΤΕΙΕΣ,,96,,,1,2%,,,ΑΡΜΕΝΙΑ,,,436,,,1,5%,,
,,,,ΑΜΕΡΙΚΗΣ - ΗΠΑ,,,,,,,,,,,,,,,,
,,,,ΆΛΛΕΣ,,645,,,8,0%,,,ΆΛΛΕΣ ΙΘΑΓΕΝΕΙΕΣ,,,4.034,,,13,8%,,
,,,,ΙΘΑΓΕΝΕΙΕΣ,,,,,,,,,,,,,,,,
,,,,ΣΥΝΟΛΟ,,,8.107,,,100%,,,ΣΥΝΟΛΟ,,,29.306,,,100%,
